,제목,URL,내용,사이트,채널,날짜1,날짜2,input,after preprocessing
668,"빅쇼 첫콘 스탠딩 질문이요!! 제가 2012 빅쇼 첫콘에 가게 되었어요~ 스탠딩 5구역 180번대인데요, 스탠딩은 빨리 가야 한다는 말이 많더라구요... 1. 스탠딩 늦게 가도 앞뒤 번호 물어보면서 끼는게 원래 맞는 거라던데, 요즘은 번호검사 제대로 안해서 막 슨다고 하더라구요.. 번호검사 제대로 하나요? 2. 학생분들이 팬...",https://kin.naver.com/qna/detail.nhn?d1id=13&dirId=13040101&docId=145027126&qb=7ZmY7J6Q67O1&enc=utf8&section=kin.ext&rank=118&search_sort=0&spq=0,... 가끔 보면 동물잠옷이나 환자복 입고 가시는 분들 계세요!! 그래도 일단 겨울이니까 따뜻하게 입어야 겠죠!? (플카문구는.... 죄송해요..;;; 제 머리로는 도저히...) 6. 스탠딩 줄 서는 것은 1시간 30분 전부터 입니다. 8시 공연시작 이니까 6시나 6시 30분 쯤부터 줄 설것 같은데요? 그리고 아마...,naver,kin,2011-01-01,2012-12-31,"빅쇼 첫콘 스탠딩 질문이요!! 제가 2012 빅쇼 첫콘에 가게 되었어요~ 스탠딩 5구역 180번대인데요, 스탠딩은 빨리 가야 한다는 말이 많더라구요... 1. 스탠딩 늦게 가도 앞뒤 번호 물어보면서 끼는게 원래 맞는 거라던데, 요즘은 번호검사 제대로 안해서 막 슨다고 하더라구요.. 번호검사 제대로 하나요? 2. 학생분들이 팬... ... 가끔 보면 동물잠옷이나 환자복 입고 가시는 분들 계세요!! 그래도 일단 겨울이니까 따뜻하게 입어야 겠죠!? (플카문구는.... 죄송해요..;;; 제 머리로는 도저히...) 6. 스탠딩 줄 서는 것은 1시간 30분 전부터 입니다. 8시 공연시작 이니까 6시나 6시 30분 쯤부터 줄 설것 같은데요? 그리고 아마...","['빅쇼', '스탠딩', '질문', '빅쇼', '스탠딩', '구역', '스탠딩', '스탠딩', '앞뒤', '번호', '요즘', '번호', '검사', '번호', '검사', '학생', '동물', '잠옷', '환자복', '겨울', '문구', '머리', '스탠딩', '시간', '공연', '시작']"
669,해석(4형식의수동태) I was given a clean patient gown by a nurse. -> 직목 A clean patient gown was given to me by a nurse. ->간목 ??;;,https://kin.naver.com/qna/detail.nhn?d1id=11&dirId=110812&docId=126531298&qb=7ZmY7J6Q67O1&enc=utf8&section=kin.ext&rank=73&search_sort=0&spq=0,"... 간목은 me이고 직목은 gown이죠.(보통 사람과 사물이 있을 때, 사람을 간목, 사물을 직목으로 봅니다.) 위의 수동태를 해석할 때는, 똑 같이 '간호사가 내개 깨끗한 환자복을 주었다.' 혹은, '나는 간호사에게서 환자복을 받았다'라고 합니다. 수동으로 썼을...",naver,kin,2011-01-01,2012-12-31,"해석(4형식의수동태) I was given a clean patient gown by a nurse. -> 직목 A clean patient gown was given to me by a nurse. ->간목 ??;; ... 간목은 me이고 직목은 gown이죠.(보통 사람과 사물이 있을 때, 사람을 간목, 사물을 직목으로 봅니다.) 위의 수동태를 해석할 때는, 똑 같이 '간호사가 내개 깨끗한 환자복을 주었다.' 혹은, '나는 간호사에게서 환자복을 받았다'라고 합니다. 수동으로 썼을...","['해석', '형식', '수동태', 'was', 'given', 'clean', 'patient', 'gown', 'by', 'nurse', 'clean', 'patient', 'gown', 'was', 'given', 'to', 'me', 'by', 'nurse', '간목', '간목', 'me', 'gown', '보통', '사람', '사물', '사람', '간목', '사물', '수동태', '해석', '간호사', '환자복', '간호사', '환자복', '수동']"
670,"술과담배를 많이 하는 아버님 좋은음식 건강식품은 어떤게 ? 안녕하세요^_^ 이제 결혼한지 얼마 안되는 새댁입니다~~ 그런데 저희 시아버님께서 술과 담배를 많이 하셔서 건강식품을 선물해 드리려구요 시댁이 근처라서 자주 찾아뵙는데, 시아버님께서 술과 담배를 많이 하셔서 집안에는 온통 담배냄새로 가득합니다ㅠ 제게는 이제 갓난아기인 아들도 있는데...",https://kin.naver.com/qna/detail.nhn?d1id=13&dirId=1305&docId=124575734&qb=7ZmY7J6Q67O1&enc=utf8&section=kin.ext&rank=110&search_sort=0&spq=0,... 간수치 낮추는데는 그저 먹는거 잘먹고 푹 쉬는 수 밖에 없다고 한달 가량을 입원해 있었습니다 이게 정상으로 회복되는데 시간이 좀 걸린다고 하더라구요 딱히 어디가 아픈건 아니라서 괜히 환자복 입고 침대에 누워서 말그대로 요양을 했죠 엄마는 날마다 간에 좋다는 음식을 해오시고 정말...,naver,kin,2011-01-01,2012-12-31,"술과담배를 많이 하는 아버님 좋은음식 건강식품은 어떤게 ? 안녕하세요^_^ 이제 결혼한지 얼마 안되는 새댁입니다~~ 그런데 저희 시아버님께서 술과 담배를 많이 하셔서 건강식품을 선물해 드리려구요 시댁이 근처라서 자주 찾아뵙는데, 시아버님께서 술과 담배를 많이 하셔서 집안에는 온통 담배냄새로 가득합니다ㅠ 제게는 이제 갓난아기인 아들도 있는데... ... 간수치 낮추는데는 그저 먹는거 잘먹고 푹 쉬는 수 밖에 없다고 한달 가량을 입원해 있었습니다 이게 정상으로 회복되는데 시간이 좀 걸린다고 하더라구요 딱히 어디가 아픈건 아니라서 괜히 환자복 입고 침대에 누워서 말그대로 요양을 했죠 엄마는 날마다 간에 좋다는 음식을 해오시고 정말...","['담배', '아버님', '음식', '건강', '식품', '안녕', '결혼', '얼마', '새댁', '시아버님', '담배', '건강', '식품', '선물', '시댁', '근처', '시아버님', '담배', '집안', '담배', '아기', '아들', '수치', '가량', '입원', '정상', '회복', '시간', '환자복', '침대', '요양', '엄마', '음식']"
671,"요양원에서 세탁이랑청소하는일 고민되네요 39세 주분데요..결혼을 빨리해서 일한경험이별로없는데 일자리 구하기쉽지도않구요..집근처 요양원에서 환자복 세탁이랑1층부터8층까지 계단... 맘 먹으면 할수있겠다했는데, 면접 볼때 실장이라는 여자가 좀깐깐해보이더라구요..환자복은 세탁기로돌리고 널고 계단은이틀에한번청소하고...",https://kin.naver.com/qna/detail.nhn?d1id=4&dirId=40611&docId=158380590&qb=7ZmY7J6Q67O1&enc=utf8&section=kin.ext&rank=307&search_sort=0&spq=0,... 게다가 환자복 세탁하고 계단에 사무실 청소까지하시기에는 나이가 좀 어리신 것 같으세요...보통 40~50대분들이 많이 하시는것 같던데 알아보면... 요양원에서 환자복 빨래하시기에는 좀 이른듯하여 제가 하는 알바 소개해드린거니까요 이번 기회에 한 번 알아나 보세요^^ 아래 네임카드 속...,naver,kin,2011-01-01,2012-12-31,"요양원에서 세탁이랑청소하는일 고민되네요 39세 주분데요..결혼을 빨리해서 일한경험이별로없는데 일자리 구하기쉽지도않구요..집근처 요양원에서 환자복 세탁이랑1층부터8층까지 계단... 맘 먹으면 할수있겠다했는데, 면접 볼때 실장이라는 여자가 좀깐깐해보이더라구요..환자복은 세탁기로돌리고 널고 계단은이틀에한번청소하고... ... 게다가 환자복 세탁하고 계단에 사무실 청소까지하시기에는 나이가 좀 어리신 것 같으세요...보통 40~50대분들이 많이 하시는것 같던데 알아보면... 요양원에서 환자복 빨래하시기에는 좀 이른듯하여 제가 하는 알바 소개해드린거니까요 이번 기회에 한 번 알아나 보세요^^ 아래 네임카드 속...","['요양원', '세탁', '청소', '고민', '결혼', '경험', '일자리', '근처', '요양원', '환자복', '세탁', '계단', '면접', '실장', '여자', '환자복', '세탁기', '계단', '이틀', '청소', '환자복', '세탁', '계단', '사무실', '청소', '나이', '보통', '대분', '요양원', '환자복', '빨래', '알바', '소개', '이번', '기회', '아래', '네임', '카드']"
672,임신40주5일째유도분만 예정일5일지낫어요 유도분만결정하고 왓는데요 유도분만을하면 힘들고더아프다는게사실인가요? 부담가네요ㅜㅜ 그리고 출산굴욕3세트라는게자세히모에요? 제모는..그냥싹다미는거아니겟죠....ㅠㅠ 출산후퇴원하고 돌아다녀도되는건가요 다처음이고그래서궁금한게너무많네요ㅜㅜ...,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7011402&docId=154888872&qb=7ZmY7J6Q67O1&enc=utf8&section=kin.ext&rank=516&search_sort=0&spq=0,... 관장 - 10분을 참고 하라고 하는데 다들 5분 안에 화장실에 가고 간혹 급해서 환자복에 하시는분도 계시고 급하게 출산하시는분들은 아이 낳을때 하시는 분도 있답니다 3. 내진 - 정말 아이 낳기까지 적어도 5번 정도 하는데요 의사도 하고 간호사도 하고 정말 아프면서 기분도 별로 그런것...,naver,kin,2011-01-01,2012-12-31,임신40주5일째유도분만 예정일5일지낫어요 유도분만결정하고 왓는데요 유도분만을하면 힘들고더아프다는게사실인가요? 부담가네요ㅜㅜ 그리고 출산굴욕3세트라는게자세히모에요? 제모는..그냥싹다미는거아니겟죠....ㅠㅠ 출산후퇴원하고 돌아다녀도되는건가요 다처음이고그래서궁금한게너무많네요ㅜㅜ... ... 관장 - 10분을 참고 하라고 하는데 다들 5분 안에 화장실에 가고 간혹 급해서 환자복에 하시는분도 계시고 급하게 출산하시는분들은 아이 낳을때 하시는 분도 있답니다 3. 내진 - 정말 아이 낳기까지 적어도 5번 정도 하는데요 의사도 하고 간호사도 하고 정말 아프면서 기분도 별로 그런것...,"['임신', '유도', '분만', '예정일', '유도', '분만', '결정', '유도', '분만', '사실', '부담', '출산', '굴욕', '세트', '모에', '제모', '출산', '퇴원', '처음', '관장', '참고', '화장실', '환자복', '출산', '아이', '내진', '아이', '의사', '간호사', '기분']"
673,이 심리테스트(?)내용이 정확히뭐죠????!!!!ㅜㅜ 심리테스트인가??아무튼 그런거였는데 약간무서운거였는데 내용이 당신은 비가오는밤길에 차를태우고 가다가 버스가언제올지모르는 정류장에 사람들이 서있는걸 발견한다 그중에 할머니(?)등등 암튼 5명정도 다른종류의 사람이 있었는데 누굴테울것인가가 질문 이였는데 그 다섯사람모두가...,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=80701&docId=133016487&qb=7ZmY7J6Q67O1&enc=utf8&section=kin.ext&rank=507&search_sort=0&spq=0,"... 그 다섯사람은 1.짐을 무지막지하게 많이 갖고있는 마른 성인남자 2.상당히 젊어보이는 임산부 3.무거운 책가방을 메고 있는 학생 4.링거를 꽂고 있으며 많이 아파보이는 환자(환자복 착용) 5.모자를 쓰고 지팡이를 들고 있는 노인 그리고 각각의 결과 1.10%(범죄자랑 거의 상관없음) 2,3. 20...",naver,kin,2011-01-01,2012-12-31,"이 심리테스트(?)내용이 정확히뭐죠????!!!!ㅜㅜ 심리테스트인가??아무튼 그런거였는데 약간무서운거였는데 내용이 당신은 비가오는밤길에 차를태우고 가다가 버스가언제올지모르는 정류장에 사람들이 서있는걸 발견한다 그중에 할머니(?)등등 암튼 5명정도 다른종류의 사람이 있었는데 누굴테울것인가가 질문 이였는데 그 다섯사람모두가... ... 그 다섯사람은 1.짐을 무지막지하게 많이 갖고있는 마른 성인남자 2.상당히 젊어보이는 임산부 3.무거운 책가방을 메고 있는 학생 4.링거를 꽂고 있으며 많이 아파보이는 환자(환자복 착용) 5.모자를 쓰고 지팡이를 들고 있는 노인 그리고 각각의 결과 1.10%(범죄자랑 거의 상관없음) 2,3. 20...","['심리', '테스트', '내용', '심리', '테스트', '내용', '밤길', '버스', '정류장', '사람', '발견', '할머니', '종류', '사람', '질문', '사람', '모두', '사람', '성인', '남자', '임산부', '책가방', '학생', '링거', '환자', '환자복', '착용', '모자', '지팡이', '노인', '각각', '결과', '범죄자']"
674,OH라디칼이 뭔가요?? (내공有) OH라이칼에 대해서 궁금한데 자세히좀 알려주세요,https://kin.naver.com/qna/detail.nhn?d1id=8&dirId=8&docId=162022375&qb=7ZmY7J6Q67O1&enc=utf8&section=kin.ext&rank=269&search_sort=0&spq=0,"... 그 외에도 쾌적한 공기를 제공하며 환자복과 침대커버의 살균 등 다양한 살균과 분해에 대한 큰 역할을 하고 있습니다. #OH라디칼과 물과의 차이점은 뭘까? 먼저 물을 살균하는 방법은 염소약품을 넣거나 오존기포를 발생시켜 오존의 살균력을 이용하는 방법, 자외선 소독 등이 있다. 이처럼...",naver,kin,2011-01-01,2012-12-31,"OH라디칼이 뭔가요?? (내공有) OH라이칼에 대해서 궁금한데 자세히좀 알려주세요 ... 그 외에도 쾌적한 공기를 제공하며 환자복과 침대커버의 살균 등 다양한 살균과 분해에 대한 큰 역할을 하고 있습니다. #OH라디칼과 물과의 차이점은 뭘까? 먼저 물을 살균하는 방법은 염소약품을 넣거나 오존기포를 발생시켜 오존의 살균력을 이용하는 방법, 자외선 소독 등이 있다. 이처럼...","['OH', '라디칼', '내공', 'OH', '공기', '제공', '환자복', '침대', '커버', '살균', '다양', '살균', '분해', '역할', 'OH', '라디칼', '차이점', '살균', '방법', '염소', '약품', '오존', '기포', '발생', '오존', '살균력', '이용', '방법', '자외선', '소독']"
675,"신내림 받을 팔자인데 왜 안 받냐고 합니다, 제가 다니는 절이 있는데 신내림 받을 팔자인데 왜 안 받냐고 합니다. (생년월일은 1993.01.03 오전 10시30 ~ 11시 사이) 저는 그런거 믿고 싶지 않거든요 나이도 아직 스물살이고 하고 싶은 것도 많은데.. 저희 집안에 신바람이 불어서 잘 안될거라고 니가 할미신 모시는데 이미 니가 말문이...",https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=60906&docId=147589624&qb=7ZmY7J6Q67O1&enc=utf8&section=kin.ext&rank=123&search_sort=0&spq=0,... 그는 병원에 입원해 있으면서도 계모를 살해했다는 죄책감에 괴로워했고 환자복 대신 고양이색(까만색) 옷만 입고 지냈다. 그리고 고양이에 대한 공포로 잠을 이루지 못하여 고통스러운 나날을 보냈다. 그 모습을 보다 못한 여인이 나를 찾아온 것이었다. 나는 여인에게 그에게는 그의...,naver,kin,2011-01-01,2012-12-31,"신내림 받을 팔자인데 왜 안 받냐고 합니다, 제가 다니는 절이 있는데 신내림 받을 팔자인데 왜 안 받냐고 합니다. (생년월일은 1993.01.03 오전 10시30 ~ 11시 사이) 저는 그런거 믿고 싶지 않거든요 나이도 아직 스물살이고 하고 싶은 것도 많은데.. 저희 집안에 신바람이 불어서 잘 안될거라고 니가 할미신 모시는데 이미 니가 말문이... ... 그는 병원에 입원해 있으면서도 계모를 살해했다는 죄책감에 괴로워했고 환자복 대신 고양이색(까만색) 옷만 입고 지냈다. 그리고 고양이에 대한 공포로 잠을 이루지 못하여 고통스러운 나날을 보냈다. 그 모습을 보다 못한 여인이 나를 찾아온 것이었다. 나는 여인에게 그에게는 그의...","['내림', '팔자', '내림', '팔자', '생년월일', '오전', '사이', '나이', '집안', '신바람', '미신', '말문', '병원', '입원', '계모', '살해', '죄책감', '환자복', '대신', '고양이', '까만색', '고양이', '공포', '고통', '나날', '모습', '여인', '여인']"
676,"예쁜간호복 급문의드립니다. 예쁜간호복 어디서 구매하면 좋을 까요? 병원분위기를 바꾸기 위해 리모델링하고 있는 중인데요. 이참에 간호복도 바꿀생각이에요 지금 간호복은 너무 오래 됐고, 간호복이 병원 이미지를 따라 간다는 느낌도 드네요 그래서 예쁜간호복으로 세련된걸로 바꾸고 싶은데 어디가...",https://kin.naver.com/qna/detail.nhn?d1id=5&dirId=511&docId=160502516&qb=7ZmY7J6Q67O1&enc=utf8&section=kin.ext&rank=184&search_sort=0&spq=0,"... 그래서 유니폼 결정이 참 중요하죠^^ 유니폼은 병원을 대표하는 거니깐요 고급스러워 보이지만 실용성도 참 중요하더라구요 편안하면서도 오래 입어도 불편하지 않는 예쁜간호복을 판매하는 쇼핑몰이 있어요 <이편한유니폼>이에요 간호복 뿐만 아니라 수술복,환자복, 의사가운 까지 다양하게...",naver,kin,2011-01-01,2012-12-31,"예쁜간호복 급문의드립니다. 예쁜간호복 어디서 구매하면 좋을 까요? 병원분위기를 바꾸기 위해 리모델링하고 있는 중인데요. 이참에 간호복도 바꿀생각이에요 지금 간호복은 너무 오래 됐고, 간호복이 병원 이미지를 따라 간다는 느낌도 드네요 그래서 예쁜간호복으로 세련된걸로 바꾸고 싶은데 어디가... ... 그래서 유니폼 결정이 참 중요하죠^^ 유니폼은 병원을 대표하는 거니깐요 고급스러워 보이지만 실용성도 참 중요하더라구요 편안하면서도 오래 입어도 불편하지 않는 예쁜간호복을 판매하는 쇼핑몰이 있어요 <이편한유니폼>이에요 간호복 뿐만 아니라 수술복,환자복, 의사가운 까지 다양하게...","['간호복', '급문', '간호복', '구매', '병원', '분위기', '모델링', '간호복', '생각', '간호복', '간호복', '병원', '이미지', '느낌', '간호복', '세련', '유니폼', '결정', '중요', '유니폼', '병원', '대표', '고급', '실용', '중요', '편안', '불편', '간호복', '판매', '쇼핑몰', '유니폼', '간호복', '수술복', '환자복', '의사', '가운', '다양']"
677,제손톱이설날때.... ... 그래서우선은환자복환복수술을하러갔죠....꼬매러......마취정말아팟구요상상할수없엇어요제팔에는갈색소독약으로범벅되있구요...다꼬맨후소독하고저희집으로가서2~3일에한번씩소독하러정형외과를가라고하셔서맨날갔어요.....그래서이제돈안들이고집에서직접하고있는데요..........,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=701&docId=146290225&qb=7ZmY7J6Q67O1&enc=utf8&section=kin.ext&rank=320&search_sort=0&spq=0,... 그래서우선은환자복환복수술을하러갔죠....꼬매러......마취정말아팟구요상상할수없엇어요제팔에는갈색소독약으로범벅되있구요...다꼬맨후소독하고저희집으로가서2~3일에한번씩소독하러정형외과를가라고하셔서맨날갔어요.....그래서이제돈안들이고집에서직접하고있는데요..........,naver,kin,2011-01-01,2012-12-31,제손톱이설날때.... ... 그래서우선은환자복환복수술을하러갔죠....꼬매러......마취정말아팟구요상상할수없엇어요제팔에는갈색소독약으로범벅되있구요...다꼬맨후소독하고저희집으로가서2~3일에한번씩소독하러정형외과를가라고하셔서맨날갔어요.....그래서이제돈안들이고집에서직접하고있는데요.......... ... 그래서우선은환자복환복수술을하러갔죠....꼬매러......마취정말아팟구요상상할수없엇어요제팔에는갈색소독약으로범벅되있구요...다꼬맨후소독하고저희집으로가서2~3일에한번씩소독하러정형외과를가라고하셔서맨날갔어요.....그래서이제돈안들이고집에서직접하고있는데요..........,"['손톱', '설날', '환자복', '환복', '수술', '마취', '구요', '상상', '갈색', '소독약', '범벅', '소독', '소독', '정형외과', '고집', '직접', '환자복', '환복', '수술', '마취', '구요', '상상', '갈색', '소독약', '범벅', '소독', '소독', '정형외과', '고집', '직접']"
678,일방폭행 전치4주 나왓습니다 ㅠㅠ 도와주세요.. 사고일시 -2012.05.11 02:00시경 . 사건의 경위 -가해자와 본인의 관계는 과거 사장님과 직원의 관계였습니다. 근무할 당시 200만원 정도 월급을 선불로 받아서 있는 상태였고 그 금액은 매달 월급에서 30만원씩 이자없이 원금만 할부로 갚아 나가기로 구두약 속을 한 상태였습니다. 금액을 거의 다...,https://kin.naver.com/qna/detail.nhn?d1id=6&dirId=602060203&docId=151176002&qb=7ZmY7J6Q67O1&enc=utf8&section=kin.ext&rank=109&search_sort=0&spq=0,... 그러니 사건이 검찰 송치 돼면( 만약 그때 까지 합의가 않될시 ) 병원 치료 하면서 꾸준히 담당 검사께 억울 하다는 탄원서 ( 호소문형 편지글 ) 를 넣으시고 등기 우편도 좋지만 ..환자복 입고 자필 탄원서 들고 찾아가서 억울함을 호소 하세요 .. 즉 최대한 정중히 검사 귀찮게 하라는거죠 ! 사건...,naver,kin,2011-01-01,2012-12-31,일방폭행 전치4주 나왓습니다 ㅠㅠ 도와주세요.. 사고일시 -2012.05.11 02:00시경 . 사건의 경위 -가해자와 본인의 관계는 과거 사장님과 직원의 관계였습니다. 근무할 당시 200만원 정도 월급을 선불로 받아서 있는 상태였고 그 금액은 매달 월급에서 30만원씩 이자없이 원금만 할부로 갚아 나가기로 구두약 속을 한 상태였습니다. 금액을 거의 다... ... 그러니 사건이 검찰 송치 돼면( 만약 그때 까지 합의가 않될시 ) 병원 치료 하면서 꾸준히 담당 검사께 억울 하다는 탄원서 ( 호소문형 편지글 ) 를 넣으시고 등기 우편도 좋지만 ..환자복 입고 자필 탄원서 들고 찾아가서 억울함을 호소 하세요 .. 즉 최대한 정중히 검사 귀찮게 하라는거죠 ! 사건...,"['일방', '폭행', '전치', '일시', '사건', '경위', '해자', '본인', '관계', '과거', '사장', '직원', '관계', '근무', '당시', '월급', '선불', '금액', '월급', '원금', '할부', '구두약', '금액', '사건', '검찰', '송치', '만약', '그때', '합의', '병원', '치료', '담당', '검사', '탄원서', '호소문', '편지', '등기', '우편', '환자복', '자필', '탄원서', '호소', '최대한', '검사', '사건']"
679,어머니가 입원을 하십니다 저희 어머니가 다음주에 수술을 하십니다 저희 어머니가 고등학생이실때 코 옆에 작은 혹 같은게 있어서 제거하는 수술을 받으셨는데 그 자리에 자꾸 염증이나고 부어서 이비인후과에서 수술을 하게 되셨습니다 그래서 한주 정도 입원을 하게 된다고 하는데 제가 돌봐드려야 될 것 같아서요 저는...,https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=710&docId=125442313&qb=7ZmY7J6Q67O1&enc=utf8&section=kin.ext&rank=114&search_sort=0&spq=0,... 그런데 가끔 환자복도 갈아 입고..주사맞을때 바지도 벗어야하는데 그럴때 님이 눈치껏 빠져주시면되고요.. 잠은 침상밑에 보호자용 침대가 있습니다..추우니깐 이불많이 챙겨가세요 의외로 찬바람이 아래로 불더라구요 저는 ㅠ 이비인후과 수술이시면 당연히 금연;하셔야겟죠 ..같은 병실쓰는...,naver,kin,2011-01-01,2012-12-31,어머니가 입원을 하십니다 저희 어머니가 다음주에 수술을 하십니다 저희 어머니가 고등학생이실때 코 옆에 작은 혹 같은게 있어서 제거하는 수술을 받으셨는데 그 자리에 자꾸 염증이나고 부어서 이비인후과에서 수술을 하게 되셨습니다 그래서 한주 정도 입원을 하게 된다고 하는데 제가 돌봐드려야 될 것 같아서요 저는... ... 그런데 가끔 환자복도 갈아 입고..주사맞을때 바지도 벗어야하는데 그럴때 님이 눈치껏 빠져주시면되고요.. 잠은 침상밑에 보호자용 침대가 있습니다..추우니깐 이불많이 챙겨가세요 의외로 찬바람이 아래로 불더라구요 저는 ㅠ 이비인후과 수술이시면 당연히 금연;하셔야겟죠 ..같은 병실쓰는...,"['어머니', '입원', '어머니', '수술', '어머니', '고등', '학생', '제거', '수술', '자리', '염증', '이비인후과', '수술', '입원', '환자복', '주사', '바지', '침상', '보호자', '침대', '이불', '찬바람', '아래', '이비인후과', '수술', '금연', '병실']"
680,"쌍둥이임신~~ 안녕하세요..시험관으로 쌍둥이를 임신한 예비맘입니다..쌍둥인데다,제 나이도많고해서 병원고르기가 쉽지가 않네요.. 바로 대학병원으로 가야되는지..아님 일반 여성병원도 괜찮을지.. 참고로 전 부산 민락동에 살고있읍니다.. 좋은 말씀 마니 부탁 드려요!~",https://kin.naver.com/qna/detail.nhn?d1id=7&dirId=7011401&docId=132058894&qb=7ZmY7J6Q67O1&enc=utf8&section=kin.ext&rank=106&search_sort=0&spq=0,... 그렇더라구요 다른 입원환자들 다 바지 입고있는데 나혼자 원피스 환자복 입고 다니는거 좀 민망...;; 그리구 쌍둥이.. 배 조금만 아파도 병원 고고씽 해야하죠..ㅠㅠ 근데 대학병원.. 더 비싸답니다..;;; 암튼.. 분만 횟수 많고 집 가깝고 친절한 병원에서 좋은 주치의 샘 만나 건강하고 예쁜 쌍둥이...,naver,kin,2011-01-01,2012-12-31,"쌍둥이임신~~ 안녕하세요..시험관으로 쌍둥이를 임신한 예비맘입니다..쌍둥인데다,제 나이도많고해서 병원고르기가 쉽지가 않네요.. 바로 대학병원으로 가야되는지..아님 일반 여성병원도 괜찮을지.. 참고로 전 부산 민락동에 살고있읍니다.. 좋은 말씀 마니 부탁 드려요!~ ... 그렇더라구요 다른 입원환자들 다 바지 입고있는데 나혼자 원피스 환자복 입고 다니는거 좀 민망...;; 그리구 쌍둥이.. 배 조금만 아파도 병원 고고씽 해야하죠..ㅠㅠ 근데 대학병원.. 더 비싸답니다..;;; 암튼.. 분만 횟수 많고 집 가깝고 친절한 병원에서 좋은 주치의 샘 만나 건강하고 예쁜 쌍둥이...","['쌍둥이', '임신', '안녕', '시험관', '쌍둥이', '임신', '예비', '다제', '나이', '병원', '고르기', '대학', '병원', '일반', '여성', '병원', '참고', '부산', '민락동', '말씀', '마니', '부탁', '입원', '환자', '바지', '혼자', '원피스', '환자복', '민망', '쌍둥이', '조금', '병원', '고고씽', '대학', '병원', '분만', '횟수', '병원', '주치', '건강', '쌍둥이']"
681,무서운이야기좀 제가요 무서운걸 좋아하는데 1644-6660 으로 전화해서 들어도 다~ 들은 얘기더라구요 그래서 좀더 새롭게 된 무서운 이야기좀 부탁드립니다 (지은거나 실화는 더 좋죠),https://kin.naver.com/qna/detail.nhn?d1id=13&dirId=13050304&docId=122871011&qb=7ZmY7J6Q67O1&enc=utf8&section=kin.ext&rank=264&search_sort=0&spq=0,... 그리고 삐- 하는 호루라기 소리가 들리기 전까지 주변을 돌아다니는 거죠. 원래는 한~두명이었던 환자들도 그렇게 해서 여러명으로 불어났던 거고 하얀 옷은 그 병원의 환자복이었던 거죠. 별로 무서운 이야기는 아닌데 실제 중국으로 여행갈때 생각한다면… 비싸도 유명한 데로 갑시다,naver,kin,2011-01-01,2012-12-31,무서운이야기좀 제가요 무서운걸 좋아하는데 1644-6660 으로 전화해서 들어도 다~ 들은 얘기더라구요 그래서 좀더 새롭게 된 무서운 이야기좀 부탁드립니다 (지은거나 실화는 더 좋죠) ... 그리고 삐- 하는 호루라기 소리가 들리기 전까지 주변을 돌아다니는 거죠. 원래는 한~두명이었던 환자들도 그렇게 해서 여러명으로 불어났던 거고 하얀 옷은 그 병원의 환자복이었던 거죠. 별로 무서운 이야기는 아닌데 실제 중국으로 여행갈때 생각한다면… 비싸도 유명한 데로 갑시다,"['이야기', '전화', '얘기', '이야기', '실화', '호루라기', '소리', '주변', '환자', '병원', '환자복', '이야기', '실제', '중국', '여행', '생각']"
682,"무서운 이야기 실화!! 안녕하세요 저는 4학년이 될 준비를 하고 있는 3학년 입니다. 저가 무서운 이야기를 꽤 좋아하는 편이라 계절에 상관없이 많이 보거든요 근데 우리집에 무서운 이야기 책도 1권 밖에 없고, 문구점에도 작은 무서운 이야기책도 안 팔아서.... 흔치 않은, 사람들이 많이 모르는 무서운 이야기 좀...",https://kin.naver.com/qna/detail.nhn?d1id=13&dirId=13050304&docId=123355780&qb=7ZmY7J6Q67O1&enc=utf8&section=kin.ext&rank=639&search_sort=0&spq=0,... 그리고 삐- 하는 호루라기 소리가 들리기 전까지 주변을 돌아다니는 거죠. 원래는 한~두명이었던 환자들도 그렇게 해서 여러명으로 불어났던 거고 하얀 옷은 그 병원의 환자복이었던 거죠. 별로 무서운 이야기는 아닌데 실제 중국으로 여행갈때 생각한다면… 비싸도 유명한 데로 갑시다,naver,kin,2011-01-01,2012-12-31,"무서운 이야기 실화!! 안녕하세요 저는 4학년이 될 준비를 하고 있는 3학년 입니다. 저가 무서운 이야기를 꽤 좋아하는 편이라 계절에 상관없이 많이 보거든요 근데 우리집에 무서운 이야기 책도 1권 밖에 없고, 문구점에도 작은 무서운 이야기책도 안 팔아서.... 흔치 않은, 사람들이 많이 모르는 무서운 이야기 좀... ... 그리고 삐- 하는 호루라기 소리가 들리기 전까지 주변을 돌아다니는 거죠. 원래는 한~두명이었던 환자들도 그렇게 해서 여러명으로 불어났던 거고 하얀 옷은 그 병원의 환자복이었던 거죠. 별로 무서운 이야기는 아닌데 실제 중국으로 여행갈때 생각한다면… 비싸도 유명한 데로 갑시다","['이야기', '실화', '안녕', '학년', '학년', '이야기', '계절', '이야기', '문구점', '이야기', '사람', '이야기', '호루라기', '소리', '주변', '환자', '병원', '환자복', '이야기', '실제', '중국', '여행', '생각']"
